track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
6rm3nZljI21f7zqPG4wfxI,"Lata Mangeshkar, Kishore Kumar",Aandhi (Original Motion Picture Soundtrack),Tum Aa Gaye Ho Noor Aa Gaya,29,252360,False,0.409,0.337,5,-11.369,0,0.0306,0.971,5.67e-06,0.113,0.473,109.972,4,"lata, filmi, classic bollywood"
6DefzsWqnwrFrmNVnJxWkS,"Asim Azhar, Kunaal Vermaa",Jo Tu Na Mila,Jo Tu Na Mila,66,234037,False,0.508,0.507,0,-5.33,0,0.0384,0.0636,1.15e-05,0.359,0.218,159.68,4,"desi pop, pakistani pop, classic pakistani pop, sufi, modern bollywood"
4UdBYHnhTPUJkSomcOllEl,"Atif Aslam, Parineeti Chopra, Papon, Sukhwinder Singh, Monali Thakur, Ronkini Gupta, Alka Yagnik, Babul Supriyo",Moments of Love Mashup - Valentine’s 2019,Moments of Love Mashup - Valentine’s 2019,32,196997,False,0.617,0.54,4,-8.058,1,0.0365,0.274,0.0,0.405,0.503,91.977,4,"filmi, hare krishna, indian folk, classic pakistani pop, indian classical, hindustani classical, sufi, modern bollywood"
7sHPLxSwU8lCbAo4vAlg8E,"Mika Singh, Ravi Bal, Bella",Something Something,"Something Something (From ""Something Something"")",0,286484,False,0.734,0.682,0,-6.476,1,0.0583,0.0106,6.35e-06,0.7,0.59,99.009,4,"filmi, bhangra, modern bollywood"
6kOuIhlzgPlqlrWPudpSHL,"Shankar-Ehsaan-Loy, Udit Narayan, Sunidhi Chauhan, Nihira Joshi Deshpande, Gulzar",Bunty Aur Babli,Dhadak Dhadak,41,392411,False,0.76,0.807,6,-5.603,1,0.0866,0.304,0.0,0.11,0.562,113.975,4,"odia pop, filmi, marathi pop, classic bollywood, modern bollywood, chutney"
6QokRHAKP1SZ36LVIoJYL8,"Mickey Singh, Dilpreet Dhillon",Closer,Closer,0,247846,False,0.699,0.729,5,-5.767,0,0.0449,0.0433,0.0,0.34,0.365,94.059,4,"punjabi pop, desi pop"
0tjnLIbuF8mwLUKq3CNIdH,"Sachet Tandon, Parampara Tandon, Sachin-Jigar",Shiddat,Jug Jug Jeeve,57,199174,False,0.559,0.632,5,-7.58,0,0.0608,0.413,0.0,0.118,0.699,90.097,4,"desi pop, filmi, modern bhajan, modern bollywood, gujarati pop"
6scAzfVRotuyZgGw8RRTN9,Arijit Singh,Sanam Teri Kasam (Original Motion Picture Soundtrack),"Tera Chehra (From ""Sanam Teri Kasam"")",0,274000,False,0.706,0.715,1,-4.143,1,0.0311,0.439,2.95e-06,0.0919,0.226,118.971,4,"filmi, modern bollywood"
4jchRQPbm6O5LkqNl0qyLt,"Rito Riba, Siddhant Kaushal",Ibadatein,Ibadatein,64,199178,False,0.612,0.731,0,-7.139,1,0.0443,0.517,0.000144,0.132,0.431,139.874,4,arunachal indie
7vWG70X4uURGBJMdQYZAj8,Lata Mangeshkar,Abhimaan (Original Motion Picture Soundtrack),Nadiya Kinare,0,245440,False,0.441,0.419,7,-12.688,1,0.0384,0.965,0.0695,0.0909,0.633,98.184,3,"lata, filmi, classic bollywood"
2oVJZVH1hlxP3MxyDFRSEb,"Kumar Sanu, Udit Narayan, Alka Yagnik, Kavita Krishnamurthy",Ishq (Original Motion Picture Soundtrack),Neend Churayee Meri,61,346720,False,0.774,0.934,5,-6.422,1,0.0516,0.118,0.00281,0.0897,0.883,105.964,4,"odia pop, filmi, hare krishna, classic bollywood, modern bollywood, chutney"
1DUoaxHClMTqzTZCTcF61z,"Pritam, Mohit Chauhan, Palak Muchhal",Bajrangi Bhaijaan,Chicken Kuk-Doo-Koo,39,343146,False,0.505,0.82,9,-5.35,1,0.364,0.571,0.0,0.716,0.902,184.518,3,"filmi, indian instrumental, modern bollywood"
4gmL6HURFqPMwx8nWQoOn2,Daler Mehndi,Bolo Ta Ra Ra,Bolo Ta Ra Ra,50,313026,False,0.703,0.848,6,-11.002,1,0.0462,0.282,0.295,0.0454,0.921,144.899,4,"modern bollywood, filmi, bhangra"
69Zx9ptG9bB7nNQz7b5itz,"Pritam, Jonita Gandhi",Dangal (Original Motion Picture Soundtrack),Gilehriyaan,46,220344,False,0.701,0.419,4,-9.778,1,0.0697,0.842,8.3e-05,0.0946,0.61,116.076,4,"filmi, indian instrumental, modern bollywood"
3yV2c3cYhkAwSsxAq6nRiv,Gajendra Verma,Table No. 21 (Original Motion Picture Soundtrack),Mann Mera,72,200120,False,0.535,0.765,1,-7.862,0,0.0444,0.054,0.0,0.0921,0.373,191.827,4,"filmi, desi pop, modern bollywood"
13tg1zpSfWyFQbv09a9LPD,"Bobby-Imran, Arijit Singh","Tu Har Lamha (From ""Khamoshiyan"")","Tu Har Lamha (From ""Khamoshiyan"")",58,272869,False,0.311,0.538,2,-4.551,0,0.0263,0.573,0.0,0.113,0.165,137.177,4,"filmi, modern bollywood"
6qCNaRRr5xJALfNJvh0NAw,"Zack Knight, Jasmin Walia","Bom Diggy Diggy (From ""Sonu Ke Titu Ki Sweety"")",Bom Diggy Diggy,64,238530,False,0.782,0.827,11,-4.219,0,0.0627,0.159,0.0,0.226,0.498,104.032,4,"desi pop, desi hip hop, modern bollywood"
69Qzz3yyQSsA0T95jLDoPL,"Gurnazar, Chet Singh",Dil Tu Jaan Tu,Dil Tu Jaan Tu,75,237333,False,0.822,0.449,0,-6.804,1,0.0336,0.28,1.26e-06,0.0981,0.382,90.023,4,"punjabi pop, desi pop"
723ra35D3V0asWXLj4FzjX,Kishore Kumar,Yaarana (Original Motion Picture Soundtrack),"Bhole O Bhole - From ""Yaarana""",30,235653,False,0.273,0.626,3,-8.658,1,0.0422,0.89,0.0113,0.744,0.57,100.376,4,"filmi, classic bollywood"
2aHz87L2Z4a0ZEQ7vMlH8z,"Salim–Sulaiman, Hema Sardesai, Jaideep Sahni",Chak De India,Badal Pe Paon Hai,48,243931,False,0.649,0.788,9,-9.607,1,0.0373,0.0717,0.00232,0.0936,0.869,104.999,4,"filmi, indian folk, classic bollywood, modern bollywood"
0joXv5niso2T8YXWOlIe1X,"Chinmayi, Gopi Sundar",Chennai Express,Titli,65,350617,False,0.679,0.421,7,-9.13,0,0.0344,0.685,6.81e-06,0.244,0.65,81.012,4,"tollywood, filmi, marathi pop"
4iFPsNzNV7V9KJgcOX7TEO,"Atif Aslam, Pritam",Ajab Prem Ki Ghazab Kahani (Original Motion Picture Soundtrack),Tu Jaane Na,66,341933,False,0.702,0.86,7,-3.969,1,0.0345,0.361,1.33e-06,0.133,0.829,120.042,4,"filmi, classic pakistani pop, indian instrumental, sufi, modern bollywood"
7rHvzWXZaSiUFnf1a6xE1d,Lucky Ali,Aks,Mehboob,12,317666,False,0.678,0.657,5,-5.799,1,0.0313,0.0872,0.0002,0.0887,0.431,88.993,4,"filmi, modern bollywood"
3yMatkxoSd1J25VmbYaqAW,"Hussain, Ager",Bluff Master (Original Motion Picture Soundtrack),Parde Ke Peeche,0,217013,False,0.704,0.864,0,-6.978,1,0.0391,0.00307,0.249,0.381,0.845,101.996,4,nasheed
2Uiz5T9TOx1oaDpIHvbs0j,"Lata Mangeshkar, Mukesh",Sanyasi (Original Motion Picture Soundtrack),Sun Baal Bramhachari,5,327533,False,0.426,0.7,9,-9.542,0,0.0531,0.859,0.000129,0.15,0.764,100.381,4,"lata, filmi, classic bollywood"
0eFNjt04kVq35UGIhsH3Ao,"Pritam, Amit Mishra, Anushka Manchanda, Antara Mitra","Manma Emotion Jaage (From ""Dilwale"")","Manma Emotion Jaage (From ""Dilwale"")",32,209411,False,0.762,0.822,0,-2.758,1,0.0425,0.0284,0.0,0.367,0.467,101.998,4,"filmi, indian instrumental, modern bollywood"
5xRci5qoXzzJgR6ZwzXO2J,"Pritam, Rahat Fateh Ali Khan",Mausam,Rabba Main Toh Mar Gaya Oye,57,269003,False,0.586,0.833,9,-3.046,1,0.069,0.469,0.0,0.312,0.593,87.892,4,"filmi, classic pakistani pop, indian instrumental, sufi, modern bollywood, qawwali"
